id;first_name;last_name;email;address_line;city;state;country_code;language_code;phone
1;Manuel;Brekke;Johnny.Schroeder@yahoo.com;Legacy Intelligent Incredible;East Margueriteborough;Soft back-end Refined Fresh Chicken;53566;93313;9209
2;Cristina;Senger;Hester.Oberbrunner27@yahoo.com;azure;Emanueltown;invoice Pizza;16244;42096;90160
3;Pink;Champlin;Kailyn_Boyle@yahoo.com;migration;Bogisichland;violet;28460;95990;11647
4;Michelle;Watsica;Alfredo45@yahoo.com;Soap Granite;South Hilma;Indian Rupee Ngultrum Triple-buffered infomediaries;64762;30180;65851
5;Jakob;Mueller;River32@yahoo.com;Buckinghamshire;Lake Carlo;AGP Bermudian Dollar (customarily known as Bermuda Dollar) Executive;51583;42028;42998
6;Solon;Paucek;Boris.Schulist@yahoo.com;Investor;New Aiyana;Vista Isle Digitized;44780;90989;22114
7;Carroll;Rath;Zachary_Windler@hotmail.com;Saint Martin artificial intelligence;Ritchieport;primary;42522;56079;25123
8;Claudia;Murphy;Verna_Frami@yahoo.com;purple recontextualize Garden;North Lanechester;New Jersey Accountability;25744;71666;46942
9;Florence;Parker;Alyce.Bosco49@hotmail.com;Money Market Account;Carrollmouth;Steel Infrastructure;49416;50388;20449
10;Reyes;Parker;Lempi_Marquardt@yahoo.com;model Licensed;Joliestad;compress;50522;98928;54640
